district_name,district_type,area_km,village_nm,neighborhood_nm,population,density,post_code
新北市板橋區,區,23.1373,126,"2,485","557,120","24,079",220
新北市新莊區,區,19.7383,84,"1,836","420,684","21,311",242
新北市中和區,區,20.144,93,"2,963","413,067","20,506",235
新北市永和區,區,5.7138,62,"1,243","220,619","38,611",234
新北市土城區,區,29.5578,47,"1,230","237,762","8,044",236
新北市樹林區,區,33.1288,42,"1,036","183,906","5,551",238
新北市三峽區,區,191.4508,28,606,"116,587",609,237
新北市鶯歌區,區,21.1248,20,433,"86,945","4,116",239
新北市三重區,區,16.317,119,"2,523","386,236","23,671",241
新北市蘆洲區,區,7.4351,38,727,"202,026","27,191",247
新北市五股區,區,34.8632,20,515,"88,165","2,529",248
新北市泰山區,區,19.1603,17,456,"78,731","4,109",243
新北市林口區,區,54.1519,17,428,"116,000","2,142",244
新北市八里區,區,39.4933,10,189,"39,555","1,003",249
新北市淡水區,區,70.6565,42,692,"179,036","2,534",251
新北市三芝區,區,65.9909,13,254,"22,721",344,252
新北市石門區,區,51.2645,9,121,"11,816",226,253
新北市金山區,區,49.2132,15,201,"21,377",434,208
新北市萬里區,區,63.3766,10,186,"21,840",345,207
新北市汐止區,區,71.2354,50,"1,137","203,621","2,858",221
新北市瑞芳區,區,70.7336,34,418,"39,495",558,224
新北市貢寮區,區,99.9734,11,191,"12,006",120,228
新北市平溪區,區,71.3382,12,115,"4,533",64,226
新北市雙溪區,區,146.2484,12,228,"8,632",59,227
新北市新店區,區,120.2255,69,"1,482","303,624","2,526",231
新北市深坑區,區,20.5787,8,238,"23,714","1,152",222
新北市石碇區,區,144.3498,12,107,"7,629",53,223
新北市坪林區,區,170.835,7,78,"6,698",39,232
臺北市中正區,區,7.6071,31,580,"157,743","20,737",100
臺北市大同區,區,5.6815,25,521,"125,909","22,159",103
臺北市中山區,區,13.6821,42,869,"227,266","16,613",104
臺北市松山區,區,9.2878,33,759,"204,043","21,968",105
臺北市大安區,區,11.3614,53,"1,022","307,526","27,071",106
臺北市萬華區,區,8.8522,36,723,"186,848","21,108",108
臺北市信義區,區,11.2077,41,904,"219,744","19,608",110
臺北市士林區,區,62.3682,51,995,"283,282","4,542",111
臺北市北投區,區,56.8216,42,827,"253,155","4,455",112
臺北市內湖區,區,31.5787,39,905,"285,526","9,044",114
臺北市南港區,區,21.8424,20,452,"120,161","5,501",115
臺北市文山區,區,31.509,43,"1,002","271,674","8,622",116
新北市烏來區,直轄市山地原住民區,321.1306,5,43,"6,434",20,233
桃園市桃園區,區,34.8046,76,"1,759","453,275","13,023",330
桃園市中壢區,區,76.52,85,"1,944","417,671","5,458",320
桃園市平鎮區,區,47.7532,46,"1,497","228,519","4,786",324
桃園市八德區,區,33.7111,48,"1,313","206,409","6,123",334
桃園市楊梅區,區,89.1229,41,973,"173,252","1,944",326
桃園市蘆竹區,區,75.5025,39,680,"166,497","2,205",338
桃園市大溪區,區,105.1206,28,673,"95,576",909,335
桃園市龍潭區,區,75.2341,31,897,"124,040","1,649",325
桃園市龜山區,區,72.0177,32,850,"163,082","2,265",333
桃園市大園區,區,87.3925,18,425,"93,087","1,065",337
桃園市觀音區,區,87.9807,24,402,"68,034",773,328
桃園市新屋區,區,85.0166,23,270,"49,290",579,327
桃園市復興區,直轄市山地原住民區,350.7775,10,125,"12,222",35,336
臺中市中區,區,0.8803,8,194,"18,395","20,903",400
臺中市東區,區,9.2855,17,404,"75,900","8,179",401
臺中市南區,區,6.8101,22,608,"126,645","18,597",402
臺中市西區,區,5.7042,25,608,"115,289","20,226",403
臺中市北區,區,6.9376,36,842,"147,379","21,267",404
臺中市北屯區,區,62.7034,42,934,"283,755","4,526",406
臺中市西屯區,區,39.8467,39,"1,006","230,611","5,788",407
臺中市南屯區,區,31.2578,25,597,"173,815","5,562",408
臺中市太平區,區,120.7473,39,714,"193,879","1,606",411
臺中市大里區,區,28.8759,27,767,"212,738","7,369",412
臺中市霧峰區,區,98.0779,20,354,"65,381",667,413
臺中市烏日區,區,43.4032,16,281,"75,635","1,743",414
臺中市豐原區,區,41.1845,36,737,"166,812","4,051",420
臺中市后里區,區,58.9439,18,263,"54,626",927,421
臺中市石岡區,區,18.2105,10,109,"14,742",810,422
臺中市東勢區,區,117.4065,25,343,"49,705",423,423
臺中市新社區,區,68.8874,13,174,"24,287",352,426
臺中市潭子區,區,25.8497,16,321,"109,351","4,230",427
臺中市大雅區,區,32.4109,15,358,"95,736","2,954",428
臺中市神岡區,區,35.0445,16,280,"65,699","1,875",429
臺中市大肚區,區,37.0024,17,298,"57,075","1,543",432
臺中市沙鹿區,區,40.4604,21,412,"94,815","2,343",433
臺中市龍井區,區,38.0377,16,290,"78,024","2,051",434
臺中市梧棲區,區,16.6049,14,342,"58,902","3,548",435
臺中市清水區,區,64.1709,32,496,"87,575","1,365",436
臺中市大甲區,區,58.5192,29,376,"76,769","1,312",437
臺中市外埔區,區,42.4098,11,187,"32,180",759,438
臺中市大安區,區,27.4045,12,110,"19,086",697,439
臺中市和平區,直轄市山地原住民區,"1,037.82",8,117,"10,898",11,424
臺南市中西區,區,6.26,20,392,"78,494","12,539",700
臺南市東區,區,13.4156,45,875,"185,903","13,863",701
